date,ConfirmedCases,Fatalities
2020-05-13 00:00:00,4370263.122164203,313624.16965326463
2020-05-14 00:00:00,4419707.212028055,319736.905106957
2020-05-15 00:00:00,4467674.491872503,325831.4957314296
2020-05-16 00:00:00,4514173.396162554,332205.62895493605
2020-05-17 00:00:00,4559210.34197863,338363.890692728
2020-05-18 00:00:00,4602795.421150764,344160.1665173839
2020-05-19 00:00:00,4644943.712782012,349801.80062039994
2020-05-20 00:00:00,4685674.511950169,355728.3348562646
2020-05-21 00:00:00,4725004.065323841,361645.16340421856
2020-05-22 00:00:00,4762948.829120875,367134.69002130505
2020-05-23 00:00:00,4799529.937992181,372202.63984260237
2020-05-24 00:00:00,4834773.245219062,377276.756187437
2020-05-25 00:00:00,4868706.256369717,382805.5919921615
2020-05-26 00:00:00,4901350.724612293,388130.48586988135
2020-05-27 00:00:00,4932731.822339023,392932.5290205991
2020-05-28 00:00:00,4962877.929329771,397443.17460799805
2020-05-29 00:00:00,4991820.111823932,402313.8768859922
2020-05-30 00:00:00,5019586.729986839,407228.59926847846
2020-05-31 00:00:00,5046205.670368514,411701.99188177387
2020-06-01 00:00:00,5071707.164351362,415777.3071882715
2020-06-02 00:00:00,5096123.644645725,419974.7059493291
2020-06-03 00:00:00,5119486.892255355,424454.6702803791
2020-06-04 00:00:00,5141825.927210946,428604.26029358536
2020-06-05 00:00:00,5163171.190049954,432261.1883977201
2020-06-06 00:00:00,5183554.776585273,435743.70774525823
2020-06-07 00:00:00,5203009.822705762,439668.18123658973
2020-06-08 00:00:00,5221566.08904005,443587.0641175046
2020-06-09 00:00:00,5239252.822861591,446970.7676087466
2020-06-10 00:00:00,5256100.446656171,449879.1293169861
2020-06-11 00:00:00,5272140.490569382,452947.6491793108
2020-06-12 00:00:00,5287403.546564675,456536.2932489526
2020-06-13 00:00:00,5301917.196752449,459784.88641565596
2020-06-14 00:00:00,5315709.612683567,462404.95939597994
2020-06-15 00:00:00,5328809.511627033,464781.8967306048
2020-06-16 00:00:00,5341245.819002878,467743.74498417875
2020-06-17 00:00:00,5353044.923328665,470730.7443692219
2020-06-18 00:00:00,5364232.4710963,473180.76591462584
2020-06-19 00:00:00,5374834.312425705,475221.75474225037
2020-06-20 00:00:00,5384876.379443036,477573.9586696619
2020-06-21 00:00:00,5394383.178774248,480168.29877622356
2020-06-22 00:00:00,5403377.722037466,482380.28646164376
2020-06-23 00:00:00,5411882.943434851,484175.2576980502
2020-06-24 00:00:00,5419921.681662066,486032.7013178232
2020-06-25 00:00:00,5427516.004905641,488261.0229801032
2020-06-26 00:00:00,5434686.190869448,490250.04876466707
2020-06-27 00:00:00,5441452.170165629,491807.8985260747
2020-06-28 00:00:00,5447833.696958324,493202.4000003931
2020-06-29 00:00:00,5453850.129844974,494934.54769245523
2020-06-30 00:00:00,5459519.213290919,496579.35989754484
