date,grade,province,city,confirmedIncr,curedIncr,deadIncr,confirmedCut,curedCut,deadCut
1-10,province,安徽,,,,,,,
1-10,province,澳门,,,,,,,
1-10,province,福建,,,,,,,
1-10,province,甘肃,,,,,,,
1-10,province,广西,,,,,,,
1-10,province,贵州,,,,,,,
1-10,province,海南,,,,,,,
1-10,province,河北,,,,,,,
1-10,province,黑龙江,,,,,,,
1-10,city,湖北,武汉,41,2,1,,,
1-10,province,湖北,,41,2,1,,,
1-10,province,湖南,,,,,,,
1-10,province,吉林,,,,,,,
1-10,province,江苏,,,,,,,
1-10,province,江西,,,,,,,
1-10,province,辽宁,,,,,,,
1-10,province,内蒙古,,,,,,,
1-10,province,宁夏,,,,,,,
1-10,province,青海,,,,,,,
1-10,province,山东,,,,,,,
1-10,province,山西,,,,,,,
1-10,province,陕西,,,,,,,
1-10,province,上海,,,,,,,
1-10,province,四川,,,,,,,
1-10,province,台湾,,,,,,,
1-10,province,天津,,,,,,,
1-10,province,西藏,,,,,,,
1-10,province,香港,,,,,,,
1-10,province,新疆,,,,,,,
1-10,province,云南,,,,,,,
1-10,province,浙江,,,,,,,
1-10,province,重庆,,,,,,,
1-10,country,,,41,2,1,,,
1-10,province,北京,,,,,,,
1-10,province,河南,,,,,,,
1-10,province,广东,,,,,,,
1-11,province,安徽,,,,,,,
1-11,province,澳门,,,,,,,
1-11,province,福建,,,,,,,
1-11,province,甘肃,,,,,,,
1-11,province,广西,,,,,,,
1-11,province,贵州,,,,,,,
1-11,province,海南,,,,,,,
1-11,province,河北,,,,,,,
1-11,province,黑龙江,,,,,,,
1-11,city,湖北,武汉,,4,,,,
1-11,province,湖北,,,4,,,,
1-11,province,湖南,,,,,,,
1-11,province,吉林,,,,,,,
1-11,province,江苏,,,,,,,
1-11,province,江西,,,,,,,
1-11,province,辽宁,,,,,,,
1-11,province,内蒙古,,,,,,,
1-11,province,宁夏,,,,,,,
1-11,province,青海,,,,,,,
1-11,province,山东,,,,,,,
1-11,province,山西,,,,,,,
1-11,province,陕西,,,,,,,
1-11,province,上海,,,,,,,
1-11,province,四川,,,,,,,
1-11,province,台湾,,,,,,,
1-11,province,天津,,,,,,,
1-11,province,西藏,,,,,,,
1-11,province,香港,,,,,,,
1-11,province,新疆,,,,,,,
1-11,province,云南,,,,,,,
1-11,province,浙江,,,,,,,
1-11,province,重庆,,,,,,,
1-11,country,,,,4,,,,
1-11,province,北京,,,,,,,
1-11,province,河南,,,,,,,
1-11,province,广东,,,,,,,
1-12,province,安徽,,,,,,,
1-12,province,澳门,,,,,,,
1-12,province,福建,,,,,,,
1-12,province,甘肃,,,,,,,
1-12,province,广西,,,,,,,
1-12,province,贵州,,,,,,,
1-12,province,海南,,,,,,,
1-12,province,河北,,,,,,,
1-12,province,黑龙江,,,,,,,
1-12,city,湖北,武汉,,1,,,,
1-12,province,湖北,,,1,,,,
1-12,province,湖南,,,,,,,
1-12,province,吉林,,,,,,,
1-12,province,江苏,,,,,,,
1-12,province,江西,,,,,,,
1-12,province,辽宁,,,,,,,
1-12,province,内蒙古,,,,,,,
1-12,province,宁夏,,,,,,,
1-12,province,青海,,,,,,,
1-12,province,山东,,,,,,,
1-12,province,山西,,,,,,,
1-12,province,陕西,,,,,,,
1-12,province,上海,,,,,,,
1-12,province,四川,,,,,,,
1-12,province,台湾,,,,,,,
1-12,province,天津,,,,,,,
1-12,province,西藏,,,,,,,
1-12,province,香港,,,,,,,
1-12,province,新疆,,,,,,,
1-12,province,云南,,,,,,,
1-12,province,浙江,,,,,,,
1-12,province,重庆,,,,,,,
1-12,country,,,,1,,,,
1-12,province,北京,,,,,,,
1-12,province,河南,,,,,,,
1-12,province,广东,,,,,,,
1-13,province,安徽,,,,,,,
1-13,province,澳门,,,,,,,
1-13,province,福建,,,,,,,
1-13,province,甘肃,,,,,,,
1-13,province,广西,,,,,,,
1-13,province,贵州,,,,,,,
1-13,province,海南,,,,,,,
1-13,province,河北,,,,,,,
1-13,province,黑龙江,,,,,,,
1-13,city,湖北,武汉,,,,,,
1-13,province,湖北,,,,,,,
1-13,province,湖南,,,,,,,
1-13,province,吉林,,,,,,,
1-13,province,江苏,,,,,,,
1-13,province,江西,,,,,,,
1-13,province,辽宁,,,,,,,
1-13,province,内蒙古,,,,,,,
1-13,province,宁夏,,,,,,,
1-13,province,青海,,,,,,,
1-13,province,山东,,,,,,,
1-13,province,山西,,,,,,,
1-13,province,陕西,,,,,,,
1-13,province,上海,,,,,,,
1-13,province,四川,,,,,,,
1-13,province,台湾,,,,,,,
1-13,province,天津,,,,,,,
1-13,province,西藏,,,,,,,
1-13,province,香港,,,,,,,
1-13,province,新疆,,,,,,,
1-13,province,云南,,,,,,,
1-13,province,浙江,,,,,,,
1-13,province,重庆,,,,,,,
1-13,country,,,,,,,,
1-13,province,北京,,,,,,,
1-13,province,河南,,,,,,,
1-13,province,广东,,,,,,,
1-14,province,安徽,,,,,,,
1-14,province,澳门,,,,,,,
1-14,province,福建,,,,,,,
1-14,province,甘肃,,,,,,,
1-14,province,广西,,,,,,,
1-14,province,贵州,,,,,,,
1-14,province,海南,,,,,,,
1-14,province,河北,,,,,,,
1-14,province,黑龙江,,,,,,,
1-14,city,湖北,武汉,,,,,,
1-14,province,湖北,,,,,,,
1-14,province,湖南,,,,,,,
1-14,province,吉林,,,,,,,
1-14,province,江苏,,,,,,,
1-14,province,江西,,,,,,,
1-14,province,辽宁,,,,,,,
1-14,province,内蒙古,,,,,,,
1-14,province,宁夏,,,,,,,
1-14,province,青海,,,,,,,
1-14,province,山东,,,,,,,
1-14,province,山西,,,,,,,
1-14,province,陕西,,,,,,,
1-14,province,上海,,,,,,,
1-14,province,四川,,,,,,,
1-14,province,台湾,,,,,,,
1-14,province,天津,,,,,,,
1-14,province,西藏,,,,,,,
1-14,province,香港,,,,,,,
1-14,province,新疆,,,,,,,
1-14,province,云南,,,,,,,
1-14,province,浙江,,,,,,,
1-14,province,重庆,,,,,,,
1-14,country,,,,,,,,
1-14,province,北京,,,,,,,
1-14,province,河南,,,,,,,
1-14,province,广东,,,,,,,
1-15,province,安徽,,,,,,,
1-15,province,澳门,,,,,,,
1-15,province,福建,,,,,,,
1-15,province,甘肃,,,,,,,
1-15,province,广西,,,,,,,
1-15,province,贵州,,,,,,,
1-15,province,海南,,,,,,,
1-15,province,河北,,,,,,,
1-15,province,黑龙江,,,,,,,
1-15,city,湖北,武汉,,5,1,,,
1-15,province,湖北,,,5,1,,,
1-15,province,湖南,,,,,,,
1-15,province,吉林,,,,,,,
1-15,province,江苏,,,,,,,
1-15,province,江西,,,,,,,
1-15,province,辽宁,,,,,,,
1-15,province,内蒙古,,,,,,,
1-15,province,宁夏,,,,,,,
1-15,province,青海,,,,,,,
1-15,province,山东,,,,,,,
1-15,province,山西,,,,,,,
1-15,province,陕西,,,,,,,
1-15,province,上海,,,,,,,
1-15,province,四川,,,,,,,
1-15,province,台湾,,,,,,,
1-15,province,天津,,,,,,,
1-15,province,西藏,,,,,,,
1-15,province,香港,,,,,,,
1-15,province,新疆,,,,,,,
1-15,province,云南,,,,,,,
1-15,province,浙江,,,,,,,
1-15,province,重庆,,,,,,,
1-15,country,,,,5,1,,,
1-15,province,北京,,,,,,,
1-15,province,河南,,,,,,,
1-15,province,广东,,,,,,,
1-16,province,安徽,,,,,,,
1-16,province,澳门,,,,,,,
1-16,province,福建,,,,,,,
1-16,province,甘肃,,,,,,,
1-16,province,广西,,,,,,,
1-16,province,贵州,,,,,,,
1-16,province,海南,,,,,,,
1-16,province,河北,,,,,,,
1-16,province,黑龙江,,,,,,,
1-16,city,湖北,武汉,4,3,,,,
1-16,province,湖北,,4,3,,,,
1-16,province,湖南,,,,,,,
1-16,province,吉林,,,,,,,
1-16,province,江苏,,,,,,,
1-16,province,江西,,,,,,,
1-16,province,辽宁,,,,,,,
1-16,province,内蒙古,,,,,,,
1-16,province,宁夏,,,,,,,
1-16,province,青海,,,,,,,
1-16,province,山东,,,,,,,
1-16,province,山西,,,,,,,
1-16,province,陕西,,,,,,,
1-16,province,上海,,,,,,,
1-16,province,四川,,,,,,,
1-16,province,台湾,,,,,,,
1-16,province,天津,,,,,,,
1-16,province,西藏,,,,,,,
1-16,province,香港,,,,,,,
1-16,province,新疆,,,,,,,
1-16,province,云南,,,,,,,
1-16,province,浙江,,,,,,,
1-16,province,重庆,,,,,,,
1-16,country,,,4,3,,,,
1-16,province,北京,,,,,,,
1-16,province,河南,,,,,,,
1-16,province,广东,,,,,,,
1-17,province,安徽,,,,,,,
1-17,province,澳门,,,,,,,
1-17,province,福建,,,,,,,
1-17,province,甘肃,,,,,,,
1-17,province,广西,,,,,,,
1-17,province,贵州,,,,,,,
1-17,province,海南,,,,,,,
1-17,province,河北,,,,,,,
1-17,province,黑龙江,,,,,,,
1-17,city,湖北,武汉,17,4,,,,
1-17,province,湖北,,17,4,,,,
1-17,province,湖南,,,,,,,
1-17,province,吉林,,,,,,,
1-17,province,江苏,,,,,,,
1-17,province,江西,,,,,,,
1-17,province,辽宁,,,,,,,
1-17,province,内蒙古,,,,,,,
1-17,province,宁夏,,,,,,,
1-17,province,青海,,,,,,,
1-17,province,山东,,,,,,,
1-17,province,山西,,,,,,,
1-17,province,陕西,,,,,,,
1-17,province,上海,,,,,,,
1-17,province,四川,,,,,,,
1-17,province,台湾,,,,,,,
1-17,province,天津,,,,,,,
1-17,province,西藏,,,,,,,
1-17,province,香港,,,,,,,
1-17,province,新疆,,,,,,,
1-17,province,云南,,,,,,,
1-17,province,浙江,,,,,,,
1-17,province,重庆,,,,,,,
1-17,country,,,17,4,,,,
1-17,province,北京,,,,,,,
1-17,province,河南,,,,,,,
1-17,province,广东,,,,,,,
1-18,province,安徽,,,,,,,
1-18,province,澳门,,,,,,,
1-18,province,福建,,,,,,,
1-18,province,甘肃,,,,,,,
1-18,province,广西,,,,,,,
1-18,province,贵州,,,,,,,
1-18,province,海南,,,,,,,
1-18,province,河北,,,,,,,
1-18,province,黑龙江,,,,,,,
1-18,city,湖北,武汉,59,5,1,,,
1-18,province,湖北,,59,5,1,,,
1-18,province,湖南,,,,,,,
1-18,province,吉林,,,,,,,
1-18,province,江苏,,,,,,,
1-18,province,江西,,,,,,,
1-18,province,辽宁,,,,,,,
1-18,province,内蒙古,,,,,,,
1-18,province,宁夏,,,,,,,
1-18,province,青海,,,,,,,
1-18,province,山东,,,,,,,
1-18,province,山西,,,,,,,
1-18,province,陕西,,,,,,,
1-18,province,上海,,,,,,,
1-18,province,四川,,,,,,,
1-18,province,台湾,,,,,,,
1-18,province,天津,,,,,,,
1-18,province,西藏,,,,,,,
1-18,province,香港,,,,,,,
1-18,province,新疆,,,,,,,
1-18,province,云南,,,,,,,
1-18,province,浙江,,,,,,,
1-18,province,重庆,,,,,,,
1-18,country,,,59,5,1,,,
1-18,province,北京,,,,,,,
1-18,province,河南,,,,,,,
1-18,province,广东,,,,,,,
1-19,province,安徽,,,,,,,
1-19,province,澳门,,,,,,,
1-19,province,福建,,,,,,,
1-19,province,甘肃,,,,,,,
1-19,province,广西,,,,,,,
1-19,province,贵州,,,,,,,
1-19,province,海南,,,,,,,
1-19,province,河北,,,,,,,
1-19,province,黑龙江,,,,,,,
1-19,city,湖北,武汉,77,1,1,,,
1-19,province,湖北,,77,1,1,,,
1-19,province,湖南,,,,,,,
1-19,province,吉林,,,,,,,
1-19,province,江苏,,,,,,,
1-19,province,江西,,,,,,,
1-19,province,辽宁,,,,,,,
1-19,province,内蒙古,,,,,,,
1-19,province,宁夏,,,,,,,
1-19,province,青海,,,,,,,
1-19,province,山东,,,,,,,
1-19,province,山西,,,,,,,
1-19,province,陕西,,,,,,,
1-19,city,上海,地区待确认,,,,,,
1-19,province,上海,,,,,,,
1-19,city,四川,成都,,,,,,
1-19,province,四川,,,,,,,
1-19,province,台湾,,,,,,,
1-19,province,天津,,,,,,,
1-19,province,西藏,,,,,,,
1-19,province,香港,,,,,,,
1-19,province,新疆,,,,,,,
1-19,province,云南,,,,,,,
1-19,province,浙江,,,,,,,
1-19,province,重庆,,,,,,,
1-19,country,,,77,1,,,,
1-19,city,北京,大兴,2,,,,,
1-19,province,北京,,2,,,,,
1-19,province,河南,,,,,,,
1-19,city,广东,深圳,1,,,,,
1-19,province,广东,,1,,,,,
1-20,province,安徽,,,,,,,
1-20,province,澳门,,,,,,,
1-20,province,福建,,,,,,,
1-20,province,甘肃,,,,,,,
1-20,province,广西,,,,,,,
1-20,province,贵州,,,,,,,
1-20,province,海南,,,,,,,
1-20,province,河北,,,,,,,
1-20,city,黑龙江,牡丹江,,,,,,
1-20,province,黑龙江,,,,,,,
1-20,city,湖北,黄冈,12,,,,,
1-20,city,湖北,武汉,60,,2,,,
1-20,province,湖北,,72,,2,,,
1-20,province,湖南,,,,,,,
1-20,province,吉林,,,,,,,
1-20,province,江苏,,,,,,,
1-20,province,江西,,,,,,,
1-20,province,辽宁,,,,,,,
1-20,province,内蒙古,,,,,,,
1-20,province,宁夏,,,,,,,
1-20,province,青海,,,,,,,
1-20,province,山东,,,,,,,
1-20,province,山西,,,,,,,
1-20,province,陕西,,,,,,,
1-20,city,上海,地区待确认,1,,,,,
1-20,city,上海,外地来沪,1,,,,,
1-20,province,上海,,2,,,,,
1-20,city,四川,成都,,,,,,
1-20,province,四川,,,,,,,
1-20,province,台湾,,,,,,,
1-20,province,天津,,,,,,,
1-20,province,西藏,,,,,,,
1-20,city,香港,香港,,,,,,
1-20,province,香港,,,,,,,
1-20,province,新疆,,,,,,,
1-20,province,云南,,,,,,,
1-20,city,浙江,杭州,1,,,,,
1-20,city,浙江,台州,1,,,,,
1-20,city,浙江,温州,2,,,,,
1-20,city,浙江,舟山,1,,,,,
1-20,province,浙江,,5,,,,,
1-20,province,重庆,,,,,,,
1-20,country,,,93,,,,,
1-20,city,北京,昌平,2,,,,,
1-20,city,北京,外地来京,1,,,,,
1-20,province,北京,,3,,,,,
1-20,province,河南,,,,,,,
1-20,city,广东,惠州,1,,,,,
1-20,city,广东,深圳,8,,,,,
1-20,city,广东,湛江,1,,,,,
1-20,city,广东,珠海,3,,,,,
1-20,province,广东,,13,,,,,
1-21,city,安徽,合肥,1,,,,,
1-21,province,安徽,,1,,,,,
1-21,city,澳门,澳门,,,,,,
1-21,province,澳门,,,,,,,
1-21,province,福建,,,,,,,
1-21,province,甘肃,,,,,,,
1-21,province,广西,,,,,,,
1-21,province,贵州,,,,,,,
1-21,province,海南,,,,,,,
1-21,province,河北,,,,,,,
1-21,province,黑龙江,,,,,,,
1-21,city,湖北,武汉,105,3,3,,,
1-21,province,湖北,,105,3,3,,,
1-21,city,湖南,长沙,1,,,,,
1-21,province,湖南,,1,,,,,
1-21,province,吉林,,,,,,,
1-21,city,江苏,扬州,,,,,,
1-21,province,江苏,,,,,,,
1-21,city,江西,抚州,1,,,,,
1-21,city,江西,萍乡,1,,,,,
1-21,province,江西,,2,,,,,
1-21,city,辽宁,沈阳,,,,,,
1-21,province,辽宁,,,,,,,
1-21,province,内蒙古,,,,,,,
1-21,city,宁夏,银川,1,,,,,
1-21,province,宁夏,,1,,,,,
1-21,province,青海,,,,,,,
1-21,city,山东,青岛,1,,,,,
1-21,city,山东,威海,1,,,,,
1-21,province,山东,,2,,,,,
1-21,province,山西,,,,,,,
1-21,province,陕西,,,,,,,
1-21,city,上海,地区待确认,7,,,,,
1-21,province,上海,,7,,,,,
1-21,city,四川,成都,1,,,,,
1-21,city,四川,广安,1,,,,,
1-21,province,四川,,2,,,,,
1-21,city,台湾,台湾,1,,,,,
1-21,province,台湾,,1,,,,,
1-21,city,天津,西青区,1,,,,,
1-21,city,天津,河东区,1,,,,,
1-21,province,天津,,2,,,,,
1-21,province,西藏,,,,,,,
1-21,city,香港,香港,,,,,,
1-21,province,香港,,,,,,,
1-21,province,新疆,,,,,,,
1-21,city,云南,昆明,1,,,,,
1-21,province,云南,,1,,,,,
1-21,city,浙江,宁波,3,,,,,
1-21,city,浙江,温州,2,,,,,
1-21,province,浙江,,5,,,,,
1-21,city,重庆,垫江县,1,,,,,
1-21,city,重庆,万州区,2,,,,,
1-21,city,重庆,巫山县,2,,,,,
1-21,city,重庆,长寿区,1,,,,,
1-21,province,重庆,,6,,,,,
1-21,country,,,149,,,,,
1-21,city,北京,丰台,1,,,,,
1-21,city,北京,海淀,2,,,,,
1-21,city,北京,通州,1,,,,,
1-21,city,北京,西城,1,,,,,
1-21,province,北京,,5,,,,,
1-21,city,河南,郑州,1,,,,,
1-21,province,河南,,1,,,,,
1-21,city,广东,佛山,1,,,,,
1-21,city,广东,广州,2,,,,,
1-21,city,广东,韶关,2,,,,,
1-21,city,广东,深圳,5,,,,,
1-21,city,广东,湛江,1,,,,,
1-21,city,广东,珠海,1,,,,,
1-21,province,广东,,12,,,,,
1-22,city,安徽,亳州,1,,,,,
1-22,city,安徽,滁州,1,,,,,
1-22,city,安徽,阜阳,1,,,,,
1-22,city,安徽,合肥,4,,,,,
1-22,city,安徽,六安,1,,,,,
1-22,province,安徽,,8,,,,,
1-22,city,澳门,澳门,1,,,,,
1-22,province,澳门,,1,,,,,
1-22,city,福建,福州,1,,,,,
1-22,province,福建,,1,,,,,
1-22,city,甘肃,白银,1,,,,,
1-22,city,甘肃,兰州,1,,,,,
1-22,province,甘肃,,2,,,,,
1-22,city,广西,北海,3,,,,,
1-22,city,广西,柳州,1,,,,,
1-22,city,广西,梧州,1,,,,,
1-22,province,广西,,5,,,,,
1-22,city,贵州,贵阳,1,,,,,
1-22,city,贵州,黔南州,1,,,,,
1-22,city,贵州,铜仁,1,,,,,
1-22,province,贵州,,3,,,,,
1-22,city,海南,海口,1,,,,,
1-22,city,海南,临高县,1,,,,,
1-22,city,海南,三亚,1,,,,,
1-22,city,海南,万宁,1,,,,,
1-22,province,海南,,4,,,,,
1-22,city,河北,石家庄,1,,,,,
1-22,province,河北,,1,,,,,
1-22,city,黑龙江,哈尔滨,1,,,,,
1-22,city,黑龙江,牡丹江,1,,,,,
1-22,province,黑龙江,,2,,,,,
1-22,city,湖北,荆门,1,,,,,
1-22,city,湖北,荆州,6,,,,,
1-22,city,湖北,武汉,62,,8,,,
1-22,province,湖北,,69,,8,,,
1-22,city,湖南,郴州,1,,,,,
1-22,city,湖南,怀化,3,,,,,
1-22,city,湖南,永州,1,,,,,
1-22,city,湖南,长沙,3,,,,,
1-22,province,湖南,,8,,,,,
1-22,city,吉林,长春,1,,,,,
1-22,province,吉林,,1,,,,,
1-22,city,江苏,苏州,1,,,,,
1-22,province,江苏,,1,,,,,
1-22,city,江西,南昌,1,,,,,
1-22,province,江西,,1,,,,,
1-22,city,辽宁,大连,1,,,,,
1-22,city,辽宁,沈阳,1,,,,,
1-22,province,辽宁,,2,,,,,
1-22,city,内蒙古,呼伦贝尔,,,,,,
1-22,province,内蒙古,,,,,,,
1-22,province,宁夏,,,,,,,
1-22,province,青海,,,,,,,
1-22,city,山东,临沂,2,,,,,
1-22,city,山东,青岛,2,,,,,
1-22,province,山东,,4,,,,,
1-22,city,山西,太原,1,,,,,
1-22,province,山西,,1,,,,,
1-22,city,陕西,西安,2,,,,,
1-22,city,陕西,咸阳,1,,,,,
1-22,province,陕西,,3,,,,,
1-22,city,上海,地区待确认,7,,,,,
1-22,province,上海,,7,,,,,
1-22,city,四川,成都,3,,,,,
1-22,city,四川,达州,1,,,,,
1-22,city,四川,绵阳,2,,,,,
1-22,province,四川,,6,,,,,
1-22,city,台湾,台湾,,,,,,
1-22,province,台湾,,,,,,,
1-22,city,天津,和平区,1,,,,,
1-22,city,天津,南开区,1,,,,,
1-22,province,天津,,2,,,,,
1-22,province,西藏,,,,,,,
1-22,city,香港,香港,1,,,,,
1-22,province,香港,,1,,,,,
1-22,city,新疆,乌鲁木齐,,,,,,
1-22,province,新疆,,,,,,,
1-22,province,云南,,,,,,,
1-22,city,浙江,杭州,5,,,,,
1-22,city,浙江,金华,1,,,,,
1-22,city,浙江,宁波,2,,,,,
1-22,city,浙江,衢州,1,,,,,
1-22,city,浙江,绍兴,1,,,,,
1-22,city,浙江,台州,5,,,,,
1-22,city,浙江,温州,,1,,,,
1-22,city,浙江,温州,2,,,,,
1-22,province,浙江,,17,1,,,,
1-22,city,重庆,涪陵区,1,,,,,
1-22,city,重庆,永川区,2,,,,,
1-22,province,重庆,,3,,,,,
1-22,country,,,131,,8,,,
1-22,city,北京,朝阳,1,,,,,
1-22,city,北京,石景山,1,,,,,
1-22,city,北京,外地来京,1,,,,,
1-22,city,北京,西城,1,,,,,
1-22,province,北京,,4,,,,,
1-22,city,河南,郑州,1,,,,,
1-22,city,河南,洛阳,1,,,,,
1-22,city,河南,三门峡,1,,,,,
1-22,city,河南,郑州,1,,,,,
1-22,province,河南,,4,,,,,
1-22,city,广东,广州,3,,,,,
1-22,city,广东,深圳,1,,,,,
1-22,city,广东,肇庆,1,,,,,
1-22,city,广东,中山,1,,,,,
1-22,province,广东,,6,,,,,
1-23,city,安徽,安庆,1,,,,,
1-23,city,安徽,蚌埠,1,,,,,
1-23,city,安徽,池州,1,,,,,
1-23,city,安徽,阜阳,1,,,,,
1-23,city,安徽,合肥,1,,,,,
1-23,city,安徽,六安,1,,,,,
1-23,province,安徽,,6,,,,,
1-23,city,澳门,澳门,1,,,,,
1-23,province,澳门,,1,,,,,
1-23,city,福建,福州,1,,,,,
1-23,city,福建,宁德,1,,,,,
1-23,city,福建,泉州,1,,,,,
1-23,city,福建,厦门,1,,,,,
1-23,province,福建,,4,,,,,
1-23,province,甘肃,,,,,,,
1-23,city,广西,百色,1,,,,,
1-23,city,广西,北海,3,,,,,
1-23,city,广西,桂林,2,,,,,
1-23,city,广西,河池,1,,,,,
1-23,city,广西,柳州,1,,,,,
1-23,province,广西,,8,,,,,
1-23,province,贵州,,,,,,,
1-23,city,海南,海口,2,,,,,
1-23,city,海南,三亚,1,,,,,
1-23,city,海南,万宁,1,,,,,
1-23,province,海南,,4,,,,,
1-23,city,河北,沧州,1,,1,,,
1-23,province,河北,,1,,1,,,
1-23,city,黑龙江,大庆,1,,,,,
1-23,city,黑龙江,绥化,1,,1,,,
1-23,province,黑龙江,,2,,1,,,
1-23,city,湖北,荆门,7,,,,,
1-23,city,湖北,荆州,2,,,,,
1-23,city,湖北,十堰,1,,,,,
1-23,city,湖北,武汉,70,3,6,,,
1-23,city,湖北,仙桃,2,,,,,
1-23,city,湖北,孝感,22,,,,,
1-23,city,湖北,宜昌,1,,1,,,
1-23,province,湖北,,105,3,7,,,
1-23,city,湖南,娄底,3,,,,,
1-23,city,湖南,湘潭,1,,,,,
1-23,city,湖南,永州,3,,,,,
1-23,city,湖南,岳阳,3,,,,,
1-23,city,湖南,长沙,4,,,,,
1-23,city,湖南,株洲,1,,,,,
1-23,province,湖南,,15,,,,,
1-23,city,吉林,吉林,1,,,,,
1-23,city,吉林,松原,1,,,,,
1-23,province,吉林,,2,,,,,
1-23,city,江苏,连云港,1,,,,,
1-23,city,江苏,南京,3,,,,,
1-23,city,江苏,南通,1,,,,,
1-23,city,江苏,苏州,1,,,,,
1-23,city,江苏,无锡,1,,,,,
1-23,city,江苏,扬州,1,,,,,
1-23,province,江苏,,8,,,,,
1-23,city,江西,抚州,,,,,,
1-23,city,江西,赣州,,,,,,
1-23,city,江西,吉安,1,,,,,
1-23,city,江西,景德镇,,,,,,
1-23,city,江西,九江,,,,,,
1-23,city,江西,九江,1,,,,,
1-23,city,江西,南昌,,,,,,
1-23,city,江西,南昌,1,,,,,
1-23,city,江西,上饶,,,,,,
1-23,city,江西,新余,1,,,,,
1-23,city,江西,宜春,,,,,,
1-23,province,江西,,4,,,,,
1-23,city,辽宁,朝阳市,1,,,,,
1-23,city,辽宁,沈阳,1,,,,,
1-23,province,辽宁,,2,,,,,
1-23,city,内蒙古,呼伦贝尔,1,,,,,
1-23,province,内蒙古,,1,,,,,
1-23,city,宁夏,中卫,1,,,,,
1-23,province,宁夏,,1,,,,,
1-23,province,青海,,,,,,,
1-23,city,山东,济南,,,,,,
1-23,city,山东,济宁,,,,,,
1-23,city,山东,青岛,,,,,,
1-23,city,山东,照,1,,,,,
1-23,city,山东,威海,1,,,,,
1-23,city,山东,潍坊,1,,,,,
1-23,city,山东,烟台,,,,,,
1-23,province,山东,,3,,,,,
1-23,province,山西,,,,,,,
1-23,city,陕西,安康,1,,,,,
1-23,city,陕西,延安,1,,,,,
1-23,province,陕西,,2,,,,,
1-23,city,上海,地区待确认,4,,,,,
1-23,city,上海,外地来沪,,,,,,
1-23,province,上海,,4,,,,,
1-23,city,四川,成都,3,,,,,
1-23,city,四川,德阳,1,,,,,
1-23,city,四川,广安,1,,,,,
1-23,city,四川,遂宁,1,,,,,
1-23,city,四川,雅安,1,,,,,
1-23,province,四川,,7,,,,,
1-23,city,台湾,台湾,,,,,,
1-23,province,台湾,,,,,,,
1-23,city,天津,河北区,1,,,,,
1-23,province,天津,,1,,,,,
1-23,province,西藏,,,,,,,
1-23,city,香港,香港,1,,,,,
1-23,province,香港,,1,,,,,
1-23,city,新疆,乌鲁木齐,2,,,,,
1-23,province,新疆,,2,,,,,
1-23,city,云南,昆明,1,,,,,
1-23,province,云南,,1,,,,,
1-23,city,浙江,嘉兴,3,,,,,
1-23,city,浙江,衢州,1,,,,,
1-23,city,浙江,台州,12,,,,,
1-23,province,浙江,,16,,,,,
1-23,city,重庆,大渡口区,1,,,,,
1-23,city,重庆,垫江县,1,,,,,
1-23,city,重庆,奉节县,1,,,,,
1-23,city,重庆,九龙坡区,2,,,,,
1-23,city,重庆,开州区,2,,,,,
1-23,city,重庆,两江新区,1,,,,,
1-23,city,重庆,万州区,1,,,,,
1-23,city,重庆,巫山县,1,,,,,
1-23,city,重庆,巫溪县,1,,,,,
1-23,city,重庆,秀山县,1,,,,,
1-23,city,重庆,渝北区,2,,,,,
1-23,city,重庆,云阳县,1,,,,,
1-23,city,重庆,长寿区,2,,,,,
1-23,city,重庆,忠县,1,,,,,
1-23,province,重庆,,18,,,,,
1-23,country,,,259,6,8,,,
1-23,city,北京,朝阳,2,,,,,
1-23,city,北京,丰台,1,,,,,
1-23,city,北京,海淀,1,,,,,
1-23,city,北京,顺义,1,,,,,
1-23,city,北京,通州,1,,,,,
1-23,city,北京,外地来京,5,,,,,
1-23,city,北京,西城,1,,,,,
1-23,province,北京,,12,,,,,
1-23,city,河南,郑州,1,,,,,
1-23,city,河南,信阳,1,,,,,
1-23,city,河南,郑州,1,,,,,
1-23,city,河南,周口,1,,,,,
1-23,province,河南,,4,,,,,
1-23,city,广东,佛山,5,,,,,
1-23,city,广东,广州,2,,,,,
1-23,city,广东,惠州,4,,,,,
1-23,city,广东,清远,1,,,,,
1-23,city,广东,韶关,1,,,,,
1-23,city,广东,深圳,,2,,,,
1-23,city,广东,阳江,3,,,,,
1-23,city,广东,中山,1,,,,,
1-23,city,广东,珠海,4,,,,,
1-23,province,广东,,21,2,,,,
1-24,city,安徽,安庆,3,,,,,
1-24,city,安徽,亳州,3,,,,,
1-24,city,安徽,滁州,1,,,,,
1-24,city,安徽,阜阳,5,,,,,
1-24,city,安徽,合肥,4,,,,,
1-24,city,安徽,马鞍山,4,,,,,
1-24,city,安徽,铜陵,3,,,,,
1-24,city,安徽,芜湖,1,,,,,
1-24,province,安徽,,24,,,,,
1-24,province,澳门,,,,,,,
1-24,city,澳门,澳门,,,,,,
1-24,city,福建,福州,1,,,,,
1-24,city,福建,福州,2,,,,,
1-24,city,福建,厦门,2,,,,,
1-24,province,福建,,5,,,,,
1-24,city,甘肃,兰州,1,,,,,
1-24,city,甘肃,临夏,1,,,,,
1-24,province,甘肃,,2,,,,,
1-24,city,广西,防城港,2,,,,,
1-24,city,广西,桂林,4,,,,,
