,目前实际感染人数,预测目前感染人数
2020-02-11,29659.0,29659.0
2020-02-12,43455.0,35784.0
2020-02-13,43437.0,41541.0
2020-02-14,48175.0,46377.0
2020-02-15,48128.0,49873.0
2020-02-16,49847.0,51834.0
2020-02-17,50338.0,52295.0
2020-02-18,50633.0,51454.0
2020-02-19,49665.0,49595.0
2020-02-20,49664.0,47013.0
2020-02-21,0.0,43974.0
2020-02-22,0.0,40696.0
2020-02-23,0.0,37342.0
2020-02-24,0.0,34031.0
2020-02-25,0.0,30845.0
2020-02-26,0.0,27832.0
